ENTITY_CD,INSTITUTION_ID,ENTITY_NAME,GRAD_RATE,ATTENDANCE_RATE,PER_FREE_LUNCH,PER_REDUCED_LUNCH,NUM_PRINC,NUM_TEACH,NUM_COUNSELORS,NUM_SOCIAL,PER_SUSPENSIONS,PER_ELL,PER_AM_IND,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_Multi,PER_SWD,PER_FEMALE,PER_MALE,PER_ECDIS,PER_MIGRANT,PER_HOMELESS,PER_FOSTER,PER_ARMED,PER_TEACH_INEXP,PER_PRINC_INEXP,PER_OUT_CERT,OVERALL_STATUS,NEEDS_INDEX,PUPIL_COUNT_TOT,PER_FEDERAL_EXP,PER_STATE_LOCAL_EXP
251601060005,800000050852,CHITTENANGO HIGH SCHOOL,91,94,32,6,1,59,3,1,6,0,0,2,3,1,92,2,18,50,50,39,0,1,0,0,3,100,0,Good Standing,5,638,311,13128
260501060013,800000051555,ODYSSEY ACADEMY,96.1,93,50,11,2,116,5,0,9,3,0,16,19,4,58,4,14,49,51,64,0,1,1,0,8,50,0,Good Standing,5,1030,873,12568
260801060006,800000034086,EASTRIDGE SENIOR HIGH SCHOOL,93.2,94,50,8,1,99,4,2,11,3,0,22,21,2,48,6,11,47,53,58,0,2,0,0,6,0,1,Good Standing,5,948,68,11784
260901060004,800000034087,HONEOYE FALLS-LIMA SENIOR HIGH SCHOOL,98.3,95,12,2,1,64,3,1,3,0,0,1,2,3,92,2,14,50,50,16,0,0,0,0,3,0,0,Good Standing,5,735,144,11903
261101060004,800000034114,HILTON HIGH SCHOOL,95.8,95,21,5,1,120,6,2,9,1,0,3,5,1,89,2,11,49,51,27,0,1,0,0,11,0,2,Good Standing,5,1490,230,11577
261401060006,800000050037,PITTSFORD SUTHERLAND HIGH SCHOOL,98.6,95,3,1,1,89,4,0,2,1,0,3,6,13,73,4,12,50,50,5,0,0,0,0,1,100,0,Good Standing,6,929,184,14124
261600010066,800000050525,JAMES MONROE HIGH SCHOOL,54.6,76,94,0,1,132,7,3,18,40,0,39,56,1,4,0,23,51,49,94,0,1,0,0,18,100,11,Comprehensive Support and Improvement,2,825,1771,15515
261600010097,800000069076,VANGUARD COLLEGIATE HIGH SCHOOL,50.2,68,95,0,1,101,2,4,6,22,0,59,32,3,6,0,24,54,46,95,0,5,0,0,31,100,11,Comprehensive Support and Improvement,2,620,490,9878
261801060003,800000050692,BROCKPORT HIGH SCHOOL,92.6,95,32,6,1,102,6,2,10,0,0,5,9,1,81,5,13,49,51,40,0,1,0,0,12,0,2,Good Standing,5,1050,715,13823
261901060009,800000050706,WEBSTER-SCHROEDER HIGH SCHOOL,94.7,96,20,3,1,113,6,1,5,1,0,4,7,4,83,1,12,47,53,24,0,1,0,0,7,0,1,Good Standing,5,1350,0,12155
270301040002,800000049949,CANAJOHARIE SENIOR HIGH SCHOOL,87.7,93,34,1,1,33,1,1,3,0,0,2,2,0,96,0,8,47,53,43,0,0,0,0,6,0,8,Good Standing,4,283,556,16832
280203030011,800000049725,EAST MEADOW HIGH SCHOOL,97.3,95,18,5,1,143,7,2,6,2,0,6,18,21,54,0,11,49,51,27,0,0,0,0,7,0,0,Good Standing,6,1448,186,12442
280221030001,800000049384,SOUTH SIDE HIGH SCHOOL,99.1,95,15,1,1,96,6,3,3,1,0,7,12,3,76,2,15,48,52,18,0,1,0,0,3,0,0,Good Standing,6,1087,201,21294
280223030005,800000049320,WANTAGH SENIOR HIGH SCHOOL,99.7,96,6,0,1,92,6,1,3,0,0,0,6,3,89,1,13,52,48,8,0,0,0,0,4,0,1,Good Standing,6,881,251,19058
280226030006,800000049308,ISLAND TREES HIGH SCHOOL,98.1,94,20,3,1,73,4,0,5,2,0,2,18,9,71,0,12,51,49,25,0,0,0,0,10,0,0,Good Standing,5,729,230,19315
280251070003,800000049244,VALLEY STREAM SOUTH HIGH SCHOOL,95,96,25,5,1,108,6,1,1,1,0,27,30,24,18,1,14,50,50,35,0,0,0,0,8,0,5,Good Standing,6,1284,169,16985
280252070003,800000049238,FLORAL PARK MEMORIAL HIGH SCHOOL,96.5,96,18,3,1,100,6,1,0,1,0,12,16,20,52,0,15,46,54,26,0,1,0,0,7,100,0,Good Standing,6,1389,226,17169
280253070005,800000049234,SANFORD H CALHOUN HIGH SCHOOL,97.6,95,12,1,1,130,7,2,3,1,0,3,13,6,77,1,17,49,51,13,0,0,0,0,13,0,0,Good Standing,6,1212,29,22231
280409030008,800000049023,HERRICKS HIGH SCHOOL,98.3,98,16,2,1,132,6,1,2,3,0,1,7,63,29,0,13,49,51,19,0,0,0,0,4,0,0,Good Standing,6,1295,285,20356
280411030003,800000048962,CARLE PLACE MIDDLE SENIOR HIGH SCHOOL,96.8,96,20,3,1,78,5,0,4,3,0,2,20,8,68,1,16,51,49,25,0,0,0,0,9,0,1,Good Standing,6,606,363,27041
280522030009,800000048738,FARMINGDALE SENIOR HIGH SCHOOL,94.2,94,18,2,1,159,9,0,5,4,0,7,22,6,64,1,14,47,53,32,0,2,0,0,14,0,1,Good Standing,5,1879,289,18250
310200010047,800000046858,AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL,91,90,82,6,1,29,1,1,0,5,0,27,65,3,5,1,28,71,29,88,0,9,0,0,62,0,23,Good Standing,1,198,509,23574
310200011288,800000058014,FOOD AND FINANCE HIGH SCHOOL,90.3,88,77,5,1,31,1,0,2,3,1,37,53,6,3,1,22,58,42,83,0,4,0,0,23,0,0,Good Standing,1,389,816,14186
310200011303,800000059107,FACING HISTORY SCHOOL (THE),73.9,81,80,1,1,30,1,2,3,11,1,25,71,1,2,1,26,47,53,80,0,12,0,0,30,0,3,MISSING,1,356,1925,15926
310200011305,800000059120,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,85.4,85,83,0,1,23,0,0,2,4,0,34,56,6,3,0,21,59,41,83,0,8,0,0,48,0,0,Good Standing,1,331,820,13540
310200011308,800000059086,LOWER MANHATTAN ARTS ACADEMY,85,87,75,1,0,28,1,0,3,7,1,28,59,9,3,0,37,65,35,76,0,10,0,0,25,0,37,Good Standing,1,292,1278,17794
310200011374,800000062347,GRAMERCY ARTS HIGH SCHOOL,84.4,85,76,5,1,38,2,0,1,2,2,33,52,5,6,2,17,71,29,81,0,8,0,0,29,0,29,Good Standing,1,468,674,12760
