"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"050701040005","SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL",1,30,2,0
"050701040007","SOUTHERN CAYUGA ELEMENTARY SCHOOL",1,32,1,0
"051101040001","A A GATES ELEMENTARY SCHOOL",1,29,1,0
"051101040004","PORT BYRON SENIOR HIGH SCHOOL",1,36,3,0
"051301040001","MILLARD FILLMORE ELEMENTARY SCHOOL",1,31,0,0
"051301040003","MORAVIA JUNIOR-SENIOR HIGH SCHOOL",2,40,2,0
"051901040002","ANDREW J SMITH ELEMENTARY SCHOOL",1,23,1,0
"051901040005","UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL",1,30,2,0
"051901040006","UNION SPRINGS MIDDLE SCHOOL",1,24,1,0
"060201060003","SOUTHWESTERN SENIOR HIGH SCHOOL",1,47,2,0
"060201060006","SOUTHWESTERN MIDDLE SCHOOL",1,33,1,0
"060201060007","SOUTHWESTERN ELEMENTARY SCHOOL",1,45,1,0
"060301040002","ROBERT H JACKSON ELEMENTARY SCHOOL",1,33,1,0
"060301040004","FREWSBURG JUNIOR-SENIOR HIGH SCHOOL",1,34,2,0
"060401040003","SINCLAIRVILLE ELEMENTARY SCHOOL",1,23,0,0
"060401040006","CASSADAGA VALLEY MIDDLE/HIGH SCHOOL",1,48,2,1
"060503040001","CHAUTAUQUA LAKE SECONDARY SCHOOL",1,53,2,0
"060503040002","CHAUTAUQUA LAKE ELEMENTARY SCHOOL",1,40,1,0
"060601040002","PINE VALLEY ELEMENTARY SCHOOL",1,28,1,1
"060601040003","PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL",1,37,2,1
"060701040003","CLYMER CENTRAL SCHOOL",1,36,2,0
"060800010003","SCHOOL 3",1,16,0,1
"060800010004","SCHOOL 4",1,20,0,1
"060800010005","SCHOOL 5",1,21,0,1
"060800010007","SCHOOL 7",1,18,0,1
"060800010009","DUNKIRK SENIOR HIGH SCHOOL",2,59,4,1
"060800010010","DUNKIRK MIDDLE SCHOOL",1,51,2,1
"061001040001","BEMUS POINT ELEMENTARY SCHOOL",1,25,1,0
"061001040005","MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL",1,39,2,0
"061101040001","HARVEY C FENNER ELEMENTARY SCHOOL",1,21,0,0
"061101040007","FALCONER MIDDLE/HIGH SCHOOL",2,55,3,1
"061101040009","PAUL B D TEMPLE ELEMENTARY SCHOOL",1,23,0,0
"061501040001","SILVER CREEK HIGH SCHOOL",1,34,2,0
"061501040002","SILVER CREEK MIDDLE SCHOOL",1,37,1,0
"061501040003","SILVER CREEK ELEMENTARY SCHOOL",1,56,1,0
"061503040002","FORESTVILLE ELEMENTARY SCHOOL",1,26,0,0
"061503040003","FORESTVILLE CENTRAL HIGH SCHOOL",1,28,1,0
"061601040001","PANAMA HIGH SCHOOL",1,27,1,0
