"","ENTITY_CD","ENTITY_NAME","PER_ELL","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_MALE","PER_ECDIS","PER_MIGRANT","PER_HOMELESS","PER_FOSTER","PER_ARMED"
"2836","332200010890","IS 338",6,0,38,36,12,12,2,14,47,53,78,0,8,0,0
"2837","332200011405","MIDWOOD HIGH SCHOOL",3,0,28,13,35,21,3,12,56,44,74,0,5,0,0
"2838","332200011425","JAMES MADISON HIGH SCHOOL",14,0,15,17,20,47,0,16,42,58,75,0,6,0,0
"2839","332200011535","LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES",0,1,7,9,29,54,1,17,56,44,50,0,1,0,0
"2840","332200011555","BROOKLYN COLLEGE ACADEMY",1,0,69,11,10,4,6,14,64,36,72,0,2,0,0
"2841","332200011611","ORIGINS HIGH SCHOOL",26,0,34,17,17,31,1,13,48,52,82,0,10,0,0
"2842","332200011630","PROFESSIONAL PATHWAYS HIGH SCHOOL",3,1,26,33,11,28,1,22,45,55,79,0,6,0,0
"2843","332200860955","HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",5,0,56,5,2,36,1,20,51,49,69,0,3,0,0
"2844","332200860978","BROOKLYN DREAMS CHARTER SCHOOL",12,2,65,16,15,2,1,19,48,52,82,0,8,0,0
"2845","332200861050","CENTRAL BROOKLYN ASCEND CHARTER",7,3,87,7,1,1,1,16,48,52,83,0,8,0,0
"2846","332200861051","NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES III",3,0,88,10,0,1,0,20,53,47,75,0,7,0,0
"2847","332200861053","NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCE MATH AND SCIENCE III",4,2,80,10,4,3,2,14,47,53,82,0,5,0,0
"2848","332200861076","SUCCESS ACADEMY CS - BERGEN BEACH",2,0,79,7,3,10,1,14,55,45,68,0,4,0,0
"2849","332300010041","PS 41 FRANCIS WHITE",7,2,59,34,1,2,3,30,47,53,97,0,16,0,0
"2850","332300010137","PS/IS 137 RACHAEL JEAN MITCHELL",7,4,75,19,0,1,1,38,49,51,92,0,15,0,0
"2851","332300010150","PS 150 CHRISTOPHER",6,2,61,33,1,2,1,38,44,56,96,0,11,0,0
"2852","332300010155","PS/IS 155 NICHOLAS HERKIMER",20,1,48,47,2,2,0,24,49,51,98,0,17,0,0
"2853","332300010156","PS 156 WAVERLY",2,1,79,19,1,1,1,25,48,52,91,0,16,0,0
"2854","332300010165","PS 165 IDA POSNER",2,0,79,16,0,4,1,37,49,51,97,0,18,0,0
"2855","332300010178","PS 178 SAINT CLAIR MCKELWAY",7,3,76,16,2,4,0,24,52,48,88,0,17,0,0
"2856","332300010184","PS 184 NEWPORT",4,1,70,28,0,1,0,30,49,51,99,0,16,0,0
"2857","332300010284","PS 284 LEW WALLACE",7,1,66,32,0,0,0,27,50,50,97,0,10,0,0
"2858","332300010298","PS 298 DR BETTY SHABAZZ",8,3,66,27,2,2,0,33,47,53,99,0,21,0,0
"2859","332300010323","PS/IS 323",5,1,74,21,3,1,0,22,55,45,94,0,18,0,0
"2860","332300010327","PS 327 DR ROSE B ENGLISH",9,1,63,30,2,3,0,36,50,50,100,0,23,0,0
"2861","332300010363","BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL",11,1,68,29,0,2,0,37,53,47,96,0,18,0,0
"2862","332300010392","IS 392",1,1,78,15,3,0,3,16,59,41,77,0,7,0,0
"2863","332300010401","CHRISTOPHER AVENUE COMMUNITY SCHOOL",5,0,59,38,0,2,1,31,49,51,98,0,28,0,0
"2864","332300010446","RIVERDALE AVENUE COMMUNITY SCHOOL",7,1,75,20,2,2,0,29,49,51,96,0,20,0,0
"2865","332300010514","FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL",4,1,85,12,2,0,0,35,47,53,91,0,14,0,0
"2866","332300010518","KNOWLEDGE AND POWER PREP ACADEMY V",3,2,87,10,0,1,1,33,50,50,90,0,16,0,0
"2867","332300010522","MOTT HALL IV",1,0,87,12,1,1,0,34,55,45,83,0,8,0,0
"2868","332300010599","BROOKLYN LANDMARK ELEMENTARY SCHOOL",3,1,75,21,2,1,0,21,47,53,78,0,11,0,0
"2869","332300010664","BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)",8,0,73,24,1,1,1,38,54,46,92,0,22,0,0
"2870","332300010668","RIVERDALE AVENUE MIDDLE SCHOOL",8,3,71,20,4,1,2,36,44,56,98,0,23,0,0
"2871","332300010671","MOTT HALL BRIDGES ACADEMY",2,1,83,15,1,2,0,32,50,50,93,0,16,0,0
"2872","332300011493","BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL",6,1,83,13,1,1,0,26,47,53,88,0,10,0,0
"2873","332300011643","BROOKLYN DEMOCRACY ACADEMY",4,3,78,18,1,1,0,28,44,56,81,0,13,0,0
"2874","332300011644","EAGLE ACADEMY FOR YOUNG MEN II",0,1,89,8,1,0,1,28,0,100,80,0,10,0,0
"2875","332300011646","ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL",3,2,78,19,0,1,0,26,46,54,82,0,10,0,0
"2876","332300011647","METROPOLITAN DIPLOMA PLUS HIGH SCHOOL",2,1,81,16,0,1,1,39,49,51,93,0,9,0,0
"2877","332300011697","TEACHERS PREPARATORY HIGH SCHOOL",10,1,77,16,2,4,1,39,50,50,92,0,17,0,0
"2878","332300860912","ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL",3,1,85,12,1,1,0,13,54,46,80,0,7,0,2
"2879","332300860936","OCEAN HILL COLLEGIATE CHARTER SCHOOL",3,3,84,11,1,0,1,16,56,44,82,0,11,0,0
"2880","332300860939","BROWNSVILLE COLLEGIATE  CHARTER SCHOOL",8,3,68,27,1,1,0,20,47,53,83,0,13,0,0
"2881","332300860941","LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL",3,3,82,12,1,1,1,11,51,49,81,0,7,0,0
"2882","332300860942","LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL",2,1,84,14,0,1,1,14,53,47,90,0,11,0,0
"2883","332300860954","BROWNSVILLE ASCEND CHARTER SCHOOL",0,1,87,10,1,1,1,16,50,50,86,0,6,0,0
"2884","332300861007","ROADS CHARTER SCHOOL 1",5,5,67,23,1,4,1,47,53,47,89,0,18,0,0
"2885","332300861127","KEY COLLEGIATE CHARTER SCHOOL",1,0,73,23,1,4,0,35,55,45,96,0,25,0,0
"2886","333200010045","PS/IS 45 HORACE E GREENE",15,1,44,47,4,4,0,21,53,47,83,0,11,0,0
"2887","333200010075","PS 75 MAYDA CORTIELLA",18,0,20,76,2,2,0,26,47,53,90,0,13,0,0
"2888","333200010086","PS 86 THE IRVINGTON",26,0,1,95,2,2,0,29,47,53,96,0,12,0,0
"2889","333200010106","PS 106 EDWARD EVERETT HALE",30,0,10,87,1,1,0,32,41,59,96,0,12,0,0
"2890","333200010116","PS 116 ELIZABETH L FARRELL",28,0,4,93,2,1,0,25,49,51,91,0,14,0,0
"2891","333200010123","PS 123 SUYDAM",35,1,2,89,6,2,0,18,50,50,94,0,9,0,0
"2892","333200010145","PS 145 ANDREW JACKSON",18,0,5,93,0,1,0,19,48,52,90,0,23,0,0
