"","ENTITY_CD","NUM_TEACH","PER_TEACH_INEXP","NUM_PRINC","PER_PRINC_INEXP"
"482","140600010033",53,15,1,100
"483","140600010037",51,14,1,0
"484","140600010042",18,0,1,0
"485","140600010043",54,7,2,0
"486","140600010045",97,7,1,0
"487","140600010053",52,8,1,0
"488","140600010054",40,10,1,100
"489","140600010056",79,9,1,0
"490","140600010059",71,8,1,100
"491","140600010061",31,13,1,0
"492","140600010064",42,5,1,100
"493","140600010065",30,3,1,0
"494","140600010066",23,13,1,0
"495","140600010069",47,11,1,0
"496","140600010072",76,8,1,0
"497","140600010074",46,9,1,100
"498","140600010076",75,23,1,0
"499","140600010080",38,11,1,0
"500","140600010081",62,6,1,0
"501","120401040000",40,38,1,0
"502","120401040001",40,38,1,0
"503","120501040000",51,18,2,50
"504","120501040001",18,39,1,0
"505","120501040002",33,6,1,100
"506","120701040000",28,11,1,100
"507","120701040001",28,11,1,100
"508","120906040000",43,14,2,100
"509","120906040001",15,13,1,100
"510","120906040002",31,13,1,100
"511","121401040000",39,21,1,0
"512","121401040001",39,21,1,0
"513","121502040000",37,24,1,0
"514","121502040001",37,24,1,0
"515","121601060000",83,24,2,0
"516","121601060002",46,26,1,0
"517","121601060005",29,21,1,0
"518","121601060006",35,17,1,0
"519","121701040000",29,24,1,100
"520","121701040001",29,24,1,100
"521","121702040000",32,9,2,50
"522","121702040001",32,9,2,50
"523","121901040000",80,19,6,50
"524","121901040001",31,6,1,0
"525","121901040002",29,21,2,0
"526","121901040003",27,33,3,100
"527","130200010000",248,9,6,67
"528","130200010001",29,10,1,100
"529","130200010002",31,23,1,100
"530","130200010003",33,9,1,100
"531","130200010004",64,6,1,0
"532","130200010005",74,8,1,100
"533","130200010006",32,16,1,0
"534","130502020000",112,18,4,50
"535","130502020001",20,5,1,100
"536","130502020002",29,31,1,0
"537","130502020003",41,17,1,0
"538","130502020004",33,15,1,100
"539","130801060000",290,14,6,33
"540","130801060002",27,30,1,100
"541","130801060003",37,22,1,0
"542","130801060005",30,10,1,0
"543","130801060006",79,15,1,0
"544","130801060007",97,14,1,0
"545","130801060008",38,5,1,100
"546","131101040000",52,8,3,0
"547","131101040004",28,7,1,0
"548","131101040006",7,14,1,0
"549","131101040007",39,8,1,0
"550","131201040000",93,14,3,33
"551","131201040001",28,7,1,0
"552","131201040002",37,22,1,0
"553","131201040003",36,17,1,100
"554","131301040000",94,19,3,0
"555","131301040001",26,19,1,0
"556","131301040002",55,16,1,0
"557","131301040003",19,32,1,0
"558","131500010000",343,29,7,43
"559","131500010001",27,15,1,100
"560","131500010003",23,9,1,0
"561","131500010006",34,26,1,100
"562","131500010007",19,37,1,0
"563","131500010009",45,27,1,0
"564","131500010010",107,33,1,0
"565","131500010011",104,38,1,100
"566","131500010013",0,0,0,0
"567","131601060000",638,5,12,17
"568","131601060001",43,5,1,0
"569","131601060002",39,3,1,0
"570","131601060004",33,6,1,100
"571","131601060005",25,4,1,0
"572","131601060008",192,5,1,0
