"ENTITY_CD","PUPIL_COUNT_TOT","PER_FEDERAL_EXP","PER_STATE_LOCAL_EXP"
"320900861084",320,723,20104
"320900861122",157,3461,20021
"321000010003",322,1999,16882
"321000010007",692,1209,12822
"321000010008",939,1751,14706
"321000010009",832,1477,15233
"321000010015",475,1488,14066
"090601020000",454,530,18588
"090601020001",256,778,10483
"090601020002",198,209,14361
"090901040000",829,747,23367
"090901040001",388,1589,14431
"090901040002",424,6,20451
"091101060000",1897,533,20335
"091101060004",882,592,12429
"091101060005",1015,157,9115
"091200010000",1829,536,20696
"091200010001",243,184,14159
"091200010003",389,1758,13377
"091200010004",223,226,15179
"091200010005",422,105,15559
"091200010006",544,288,12727
"091402060000",1488,955,18789
"091402060002",370,963,10052
"091402060004",393,763,10414
"091402060005",401,818,16187
"091402060007",323,36,15591
"100501040000",1284,790,21789
"100501040003",634,392,14639
"100501040006",646,1168,13162
"100902040000",525,1094,23280
"100902040003",263,1556,14836
"100902040004",262,46,15966
"101001040000",1020,503,22984
"101001040001",461,447,12500
"101001040002",317,261,23023
"101001040006",242,736,12589
"101300010000",1723,1229,23265
"101300010001",486,1237,17598
"101300010003",845,1217,15481
"101300010004",381,1280,16876
"101401040000",1750,522,19485
"101401040004",520,432,11290
"101401040005",528,126,16655
"101401040006",675,562,13364
"101601040000",432,767,22153
"101601040002",225,407,13053
"101601040003",207,0,17566
"110101040000",530,900,21234
"110101040001",212,1032,13611
"110101040002",138,521,19847
"110101040003",180,1036,12944
"110200010000",2355,807,16291
"110200010003",328,1063,12121
"110200010004",113,796,16877
"110200010008",224,1299,12969
"110200010009",267,1217,12933
"110200010010",249,638,12666
"110200010011",705,709,11700
"110200010012",353,531,11078
"110304040000",564,638,16731
"110304040001",271,645,11832
"131601060004",395,672,14381
"131601060005",301,267,14507
"131601060008",2868,39,13813
"131601060010",375,287,13702
"131601060011",306,582,16134
"131601060012",947,3,16145
"131601060013",395,619,15001
"131601060014",580,223,16455
"131601060015",938,376,16898
"131602020000",1501,335,24919
"131602020001",316,467,17669
"131602020003",328,432,15792
"131602020004",382,352,18227
"131602020005",475,165,20005
"131701060000",1861,391,22781
"131701060002",677,241,16585
"131701060004",412,61,19215
"131701060006",387,703,16805
"131701060008",385,695,17199
"131801040000",995,909,27215
"131801040001",343,49,19709
"131801040002",396,437,16861
"131801040003",256,164,18891
"132101060000",10671,291,18926
"132101060001",623,220,11826
"132101060002",423,222,12303
"132101060003",529,219,12099
"332200010195",486,550,11476
"332200010197",765,1050,15087
"332200010198",410,2474,17267
"332200010203",675,1246,15899
"332200010206",1517,1018,12185
"332200010207",1163,503,14148
"332200010217",1145,1143,13861
"332200010222",882,749,19270
"332200010234",1767,962,11913
"332200010236",556,723,14571
"332200010240",692,1935,14302
"332200010245",306,2982,15392
"332200010251",493,1399,16736
"332200010254",766,591,12909
"332200010255",881,1097,16817
"332200010277",429,889,17186
"332200010278",1202,922,14682
"332200010312",779,515,15590
"332200010315",648,2051,16967
"332200010326",169,1761,24111
"332200010361",631,1623,17648
"332200010381",254,854,16331
"332200010889",137,92,13156
"332200010890",213,816,14368
"332200011405",4161,723,9283
"332200011425",3808,807,10927
"332200011535",1061,375,11535
"332200011555",658,44,10290
"261101060000",4503,423,14468
"261101060001",999,739,8605
"261101060002",451,615,10803
"261101060004",1490,230,11577
"261101060005",692,149,10989
"261101060006",850,308,8944
"261201060000",4546,686,16980
"261201060003",560,395,11098
"261201060004",498,823,10998
"261201060005",575,255,11609
"261201060006",1377,268,13478
"261201060008",1083,175,14055
"261201060009",453,489,13578
"261301060000",5735,363,17223
"261301060001",644,278,9601
"261301060002",614,291,12228
"261301060004",706,398,11522
"261301060006",629,386,9922
"261301060007",435,180,12896
"261301060008",635,414,9395
"261301060009",1409,202,11103
"261301060010",627,338,10296
"261313030000",978,797,22216
"261313030001",478,583,12624
"261313030002",500,368,14959
"261401060000",5694,471,18607
"261401060001",372,446,12090
"342400010307",901,910,14904
"342400010311",756,720,13574
"342400010330",567,1032,15404
"342400010343",427,725,15261
"342400011236",261,1270,16414
"342400011264",647,557,11033
"342400011267",406,577,12750
"342400011293",591,607,11526
"342400011296",414,1267,18959
"342400011299",643,5,11324
"342400011455",1767,921,13836
"342400011485",1707,803,13287
"342400011520",511,494,12112
"342400011530",510,634,13025
"342400011550",776,639,12855
"342400011560",648,577,11945
"342400011585",1213,61,10147
"342400011600",1517,940,13542
"342400011610",2097,851,12322
"342400011744",212,689,14760
"342400861025",420,860,15930
"342400861048",402,317,16105
"342400861113",178,7698,13097
"342500010020",1205,1015,13098
"342500010021",1347,720,13112
"342500010022",918,1006,14155
"342500010024",1048,854,13326
"342500010025",1049,242,12173
"342500010029",701,746,14093
"471201040000",333,2924,8234
"471201040001",333,2924,2632
"471400010000",1817,358,16503
"471400010002",495,311,15986
"471400010003",280,82,11117
"471400010004",297,801,11892
"471400010007",390,276,13648
"471400010008",260,343,12739
"471601040000",756,630,18987
"471601040004",342,1135,11819
"471601040005",233,338,15744
"471601040006",181,24,14222
"471701040000",851,455,18529
"471701040001",424,569,12299
"471701040003",427,341,14493
"472001040000",452,742,174
"472001040001",273,558,289
"472001040002",179,1023,0
"472202040000",473,1789,20182
"472202040001",473,895,13179
"472506040000",348,1707,3072
"580212060006",1486,470,16733
"580212060007",1430,469,15753
"580224030000",7620,468,21097
"580224030001",518,17,16606
"580224030002",438,13,13963
"580224030003",342,652,12405
"342900010118",454,864,15602
"342900010131",745,957,13003
"600301040002",353,602,13483
"600301040003",374,537,14595
"600402040000",1106,577,17612
"600402040001",335,338,11807
"600402040003",346,1022,11250
"600402040004",425,371,13240
"600601060000",2029,570,17413
"600601060001",426,283,11427
"600601060002",522,884,11381
"600601060006",435,411,12101
"600601060007",646,345,12893
"600801040000",908,997,19404
"600801040001",265,0,12690
"600801040002",292,0,12576
"600801040003",351,0,11009
"600903040000",936,639,14168
"600903040001",275,0,12952
"600903040003",371,965,6406
"610301060000",1426,1113,22003
"610301060001",486,1084,18677
"610301060003",453,176,17204
"610301060006",75,357,12062
"610301060007",90,465,10102
"610301060008",322,758,16429
"610501040000",851,1401,18299
"610501040001",418,0,10811
"610501040002",433,1834,8063
"610600010000",5317,578,19233
"610600010001",362,1099,11351
"610600010002",338,1103,11152
"610600010003",352,501,11165
"610600010004",288,1675,15909
"610600010007",187,1460,16595
"610600010008",224,881,13146
"610600010011",462,222,11905
"610600010012",398,378,11622
"610600010014",523,198,14854
"610600010015",479,763,14036
"610600010017",1353,145,13476
"610600010019",291,352,15257
"610600860944",129,908,16994
"610801040000",1159,471,20312
"610801040001",448,279,11380
"610801040002",328,465,16509
"610801040003",383,700,14764
"610901040000",785,769,29799
"610901040002",402,1138,15805
"610901040003",218,296,14419
"610901040004",165,497,21197
"611001040000",1055,529,20635
"342500011460",1624,922,14285
"342500011499",516,222,11089
"280219030002",555,240,24913
"280219030004",314,865,15246
"280220030000",2807,281,26089
"280220030001",219,15,15235
"280220030002",447,73,17853
"280220030003",186,10,20344
"280220030004",408,109,15810
"280220030005",267,172,20193
"280220030006",385,117,18472
"280220030007",895,151,18615
"280221030000",3576,369,27409
"280221030001",1087,201,21294
"280221030002",845,25,20599
"280221030003",290,471,20298
"280221030004",167,820,25334
"280221030005",464,0,18935
"280221030006",298,127,22683
"280221030008",425,111,16871
"280222020000",1563,408,16148
"280222020001",902,355,11019
"280222020002",661,480,12356
"280223030000",2790,271,24038
"310200860992",297,862,22427
"310200861042",720,-56,18995
"310200861043",462,500,12004
"310200861087",223,-659,25896
"310200861104",273,1022,23985
"310300010009",613,433,14838
"310300010054",869,313,11379
"332100010239",1337,412,11159
"332100010253",933,1154,14294
"332100010281",1353,851,12605
"332100010288",616,1588,17130
"332100010303",568,569,12263
"332100010329",385,1743,18923
"332100011337",335,1421,15293
"332100011344",611,820,12995
"332100011348",246,903,15396
"332100011410",1913,1173,11938
"332100011468",668,611,11995
"332100011525",3713,705,12173
"332100011540",2189,807,13221
"332100011559",281,1164,15101
"332100011572",375,829,13601
"332100011620",417,1974,22863
"332100011690",933,983,13547
"332100011728",208,1086,16539
"332100860949",1007,1115,19344
"332100861075",508,396,12110
"332100861123",233,1219,19948
"332200010014",527,1819,19316
"332200010052",814,1288,15089
"332200010078",573,1654,16362
"332200010109",573,1812,18505
"332200010119",446,853,15647
"332200010134",584,1304,13415
"332200010139",955,1090,13509
"661402020000",1430,249,30200
"130801060005",297,1728,17404
"130801060006",829,209,18314
"130801060007",1225,100,17626
"130801060008",452,182,15131
"131101040000",675,528,25623
"131101040004",203,349,24961
"131101040006",202,721,15173
"131101040007",266,504,13839
"131201040000",1116,440,27450
"131201040001",387,680,17466
"131201040002",385,185,18860
"131201040003",344,175,19063
"131301040000",898,687,27062
"131301040001",254,463,12224
"131301040002",491,437,15105
"131301040003",153,230,15662
"131500010000",4326,881,21235
"131500010001",369,1274,14681
"131500010003",316,1469,14797
"131500010006",532,1120,14781
"131500010007",459,631,13479
"131500010009",555,1128,14595
"131500010010",1144,631,17212
"131500010011",951,679,17366
"131601060000",7990,286,20262
"131601060001",449,725,15481
"131601060002",436,236,14610
"331800860702",529,658,19819
"331800860908",817,461,16358
"331800860916",1538,476,19157
"331800860943",794,457,12991
"331800860988",256,0,19754
"331800861033",865,393,20010
"331800861057",365,500,16086
"331900010007",828,1435,14177
"331900010013",452,1861,18782
"331900010065",575,1224,11565
"331900010089",462,1019,16675
"331900010108",946,1157,13822
"331900010149",636,1468,16342
"331900010158",518,1141,15800
"331900010159",751,1356,14082
"331900010171",414,1599,16460
"331900010190",179,1616,20999
"331900010202",337,2641,18609
"331900010213",264,2490,15438
"321200010066",586,1910,18403
"321200010067",486,2333,15780
"321200010098",261,2425,19372
"321200010129",543,1330,15215
"321200010134",615,1551,14662
"321200010150",785,1910,15087
"321200010190",274,835,16474
"321200010195",875,1769,13858
