"","ENTITY_CD","ENTITY_NAME","YEAR","ATTENDANCE_RATE"
"307","062201060003","FREDONIA HIGH SCHOOL",2019,92
"308","062301040000","BROCTON CENTRAL SCHOOL DISTRICT",2019,94
"309","062301040002","BROCTON ELEMENTARY SCHOOL",2019,94
"310","062301040003","BROCTON MIDDLE HIGH SCHOOL",2019,94
"311","062401040000","RIPLEY CENTRAL SCHOOL DISTRICT",2019,94
"312","062401040001","RIPLEY CENTRAL SCHOOL",2019,94
"313","062601040000","SHERMAN CENTRAL SCHOOL DISTRICT",2019,92
"314","062601040002","SHERMAN ELEMENTARY SCHOOL",2019,94
"315","062601040003","SHERMAN HIGH SCHOOL",2019,89
"316","062901040000","WESTFIELD CENTRAL SCHOOL DISTRICT",2019,92
"317","062901040001","WESTFIELD ELEMENTARY SCHOOL",2019,93
"318","062901040002","WESTFIELD HIGH SCHOOL",2019,91
"319","062901040004","WESTFIELD MIDDLE SCHOOL",2019,93
"320","070600010000","ELMIRA CITY SCHOOL DISTRICT",2019,91
"321","070600010006","DIVEN SCHOOL",2019,91
"322","070600010007","FASSETT ELEMENTARY SCHOOL",2019,91
"323","070600010010","HENDY AVENUE SCHOOL",2019,91
"324","070600010013","PARLEY COBURN SCHOOL",2019,92
"325","070600010014","PINE CITY SCHOOL",2019,94
"326","070600010015","RIVERSIDE SCHOOL",2019,90
"327","070600010016","THOMAS K BEECHER SCHOOL",2019,91
"328","070600010019","BROADWAY ACADEMY",2019,92
"329","070600010020","ELMIRA HIGH SCHOOL",2019,89
"330","070600010021","ERNIE DAVIS ACADEMY",2019,91
"331","070600010022","BROADWAY ELEMENTARY SCHOOL",2019,94
"332","070600861078","FINN ACADEMY-AN ELMIRA CHARTER SCHOO",2019,95
"333","070901060000","HORSEHEADS CENTRAL SCHOOL DISTRICT",2019,96
"334","070901060003","CENTER STREET SCHOOL",2019,95
"335","070901060004","RIDGE ROAD SCHOOL",2019,95
"336","070901060005","BIG FLATS SCHOOL",2019,96
"337","070901060007","HORSEHEADS SENIOR HIGH SCHOOL",2019,96
"338","070901060009","GARDNER ROAD ELEMENTARY SCHOOL",2019,95
"339","070901060010","HORSEHEADS MIDDLE SCHOOL",2019,96
"340","070901060011","HORSEHEADS INTERMEDIATE SCHOOL",2019,96
"341","070902060000","ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT",2019,94
"342","070902060002","THOMAS A EDISON HIGH SCHOOL",2019,92
"343","070902060004","COHEN MIDDLE SCHOOL",2019,95
"344","070902060006","COHEN ELEMENTARY SCHOOL",2019,95
"345","080101040000","AFTON CENTRAL SCHOOL DISTRICT",2019,93
"346","080101040002","AFTON ELEMENTARY SCHOOL",2019,93
"347","080101040003","AFTON JUNIOR/SENIOR HIGH SCHOOL",2019,93
"348","080201040000","BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT",2019,92
"349","080201040001","BAINBRIDGE-GUILFORD HIGH SCHOOL",2019,89
"350","080201040002","GREENLAWN ELEMENTARY SCHOOL",2019,95
"351","080201040003","GUILFORD ELEMENTARY SCHOOL",2019,93
"352","080601040000","GREENE CENTRAL SCHOOL DISTRICT",2019,95
"353","080601040001","GREENE PRIMARY SCHOOL",2019,95
"354","080601040002","GREENE INTERMEDIATE SCHOOL",2019,96
"355","080601040003","GREENE HIGH SCHOOL",2019,95
"356","080601040004","GREENE MIDDLE SCHOOL",2019,95
"357","081003040000","UNADILLA VALLEY CENTRAL SCHOOL DISTRICT",2019,94
"358","081003040003","UNADILLA VALLEY SECONDARY SCHOOL",2019,94
"359","081003040006","UNADILLA VALLEY ELEMENTARY SCHOOL",2019,95
"360","081200050000","NORWICH CITY SCHOOL DISTRICT",2019,95
"361","081200050001","PERRY BROWNE INTERMEDIATE SCHOOL",2019,96
"362","081200050002","STANFORD J GIBSON PRIMARY SCHOOL",2019,93
"363","081200050003","NORWICH MIDDLE SCHOOL",2019,95
"364","081200050004","NORWICH HIGH SCHOOL",2019,95
"365","081401040000","GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT",2019,95
"366","081401040001","OTSELIC VALLEY CENTRAL SCHOOL",2019,95
"367","081501040000","OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT",2019,95
"368","081501040001","OXFORD ACADEMY MIDDLE SCHOOL",2019,95
"369","081501040002","OXFORD ACADEMY HIGH SCHOOL",2019,94
"370","081501040003","OXFORD ACADEMY PRIMARY SCHOOL",2019,95
"371","082001040000","SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT",2019,94
"372","082001040002","SHERBURNE-EARLVILLE ELEMENTARY SCHOOL",2019,95
"373","082001040003","SHERBURNE-EARLVILLE MIDDLE SCHOOL",2019,94
"374","082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL",2019,93
"375","090201040000","AUSABLE VALLEY CENTRAL SCHOOL DISTRICT",2019,94
