"ENTITY_CD","PER_OUT_CERT"
"210601060005",7
"210601060006",5
"210800050000",3
"210800050001",2
"210800050005",4
"210800050006",4
"211003040000",0
"211003040001",0
"211003040002",0
"211003040004",0
"211103040000",12
"211103040001",13
"211103040003",9
"211701040000",20
"211701040001",22
"211901020000",10
"211901020001",10
"212001040000",3
"212001040002",3
"212001040003",3
"212001040005",3
"212101040000",1
"212101040001",4
"212101040002",0
"212101040005",0
"212101040006",0
"220101040000",2
"220101040002",5
"220101040003",0
"220101040004",0
"220101040006",4
"220202040000",10
"220202040001",5
"220202040002",14
"220301060000",0
"220301060001",0
"220301060002",0
"220301060003",0
"220301060004",0
"220301060007",0
"220301060008",0
"220301060009",0
"220301060010",0
"220401040000",9
"220401040002",3
"220401040003",5
"220401040004",12
"220701040000",0
"220701040001",0
"220701040002",0
"220701040003",0
"220701040004",0
"220909040000",2
"220909040010",2
"221001040000",2
"221001040001",3
"221301040000",10
"221301040001",10
"221401040000",7
"221401040001",7
"222000010000",2
"222000010007",0
"222000010010",0
"222000010011",0
"222000010013",7
"222000010014",6
"222000010015",0
"222000010016",1
"222000010017",0
"222201060000",3
"222201060001",3
"222201060002",0
"222201060005",0
"222201060006",4
"222201060011",4
"230201040000",11
"230201040001",11
"230301040000",14
"230301040001",0
"230301040002",27
"230901040000",0
"230901040001",0
"230901040002",0
"230901040003",0
"231101040000",2
"231101040005",0
"231101040006",0
"231101040007",0
"231101040008",6
"231301040000",6
"231301040001",0
"231301040002",13
"231301040004",20
"240101040000",3
"240101040001",0
"240101040002",4
"240101040003",4
"240201040000",0
"240201040001",0
"240201040002",0
"240201040003",0
"240401040000",8
"240401040001",13
"240401040002",3
"240801060000",0
"240801060001",0
"240801060002",0
"240801060003",0
"240901040000",3
"240901040001",8
"240901040002",0
"241001060000",8
"241001060001",0
"241001060003",10
"241001060004",9
"241101040000",0
"241101040001",0
"241101040002",0
"241101040003",0
"241701040000",5
"241701040003",6
"241701040004",3
"250109040000",13
"250109040001",14
"250201060000",2
"250201060001",4
"250201060002",2
"250201060006",3
"250301040000",2
"250301040001",5
"250301040002",0
"250401040000",2
"250401040001",0
"250401040004",3
"250701040000",9
"250701040001",5
"250701040002",0
"250901060000",1
"250901060003",0
"250901060004",0
"250901060005",0
"250901060006",6
"251101040000",7
"251101040003",8
"251400010000",1
"251400010002",0
"251400010003",0
"251400010005",0
"251400010006",0
"251400010008",2
"251400010009",0
"251501040000",0
"251501040001",0
"251601060000",3
"251601060001",5
"251601060002",3
"251601060003",6
"251601060005",0
"260101060000",1
"260101060001",2
"260101060004",2
"260101060008",0
"260101060010",0
"260401060000",0
"260401060001",1
"260401060002",0
"260401060004",0
"260401060007",0
"260401060008",0
"260401060009",0
"260501060000",0
"260501060001",0
"260501060002",0
"260501060004",0
"260501060006",0
"260501060007",0
