"ENTITY_CD","ENTITY_NAME","PER_SUSPENSIONS"
"060503040002","CHAUTAUQUA LAKE ELEMENTARY SCHOOL",1
"060601040002","PINE VALLEY ELEMENTARY SCHOOL",5
"060601040003","PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL",5
"060701040003","CLYMER CENTRAL SCHOOL",3
"060800010003","SCHOOL 3",1
"060800010004","SCHOOL 4",0
"060800010005","SCHOOL 5",4
"060800010007","SCHOOL 7",2
"060800010009","DUNKIRK SENIOR HIGH SCHOOL",8
"060800010010","DUNKIRK MIDDLE SCHOOL",9
"061001040001","BEMUS POINT ELEMENTARY SCHOOL",3
"061001040005","MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL",5
"061101040001","HARVEY C FENNER ELEMENTARY SCHOOL",3
"061101040007","FALCONER MIDDLE/HIGH SCHOOL",6
"061101040009","PAUL B D TEMPLE ELEMENTARY SCHOOL",0
"061501040001","SILVER CREEK HIGH SCHOOL",4
"061501040002","SILVER CREEK MIDDLE SCHOOL",11
"061501040003","SILVER CREEK ELEMENTARY SCHOOL",1
"061503040002","FORESTVILLE ELEMENTARY SCHOOL",1
"061503040003","FORESTVILLE CENTRAL HIGH SCHOOL",2
"061601040001","PANAMA HIGH SCHOOL",1
"061601040003","PANAMA K-6 SCHOOL",0
"061700010001","CARLYLE C RING ELEMENTARY SCHOOL",1
"061700010003","CLINTON V BUSH ELEMENTARY SCHOOL",1
"061700010006","PERSELL MIDDLE SCHOOL",10
"061700010007","MILTON J FLETCHER ELEMENTARY SCHOOL",3
"061700010009","SAMUEL G LOVE ELEMENTARY SCHOOL",4
"061700010010","THOMAS JEFFERSON MIDDLE SCHOOL",11
"061700010011","ABRAHAM LINCOLN ELEMENTARY SCHOOL",1
"061700010012","GEORGE WASHINGTON MIDDLE SCHOOL",15
"061700010013","JAMESTOWN HIGH SCHOOL",9
"062201060001","FREDONIA ELEMENTARY SCHOOL",0
"062201060002","FREDONIA MIDDLE SCHOOL",4
"062201060003","FREDONIA HIGH SCHOOL",4
"062301040002","BROCTON ELEMENTARY SCHOOL",2
"062301040003","BROCTON MIDDLE HIGH SCHOOL",11
"062401040001","RIPLEY CENTRAL SCHOOL",1
"062601040002","SHERMAN ELEMENTARY SCHOOL",2
"062601040003","SHERMAN HIGH SCHOOL",11
"062901040001","WESTFIELD ELEMENTARY SCHOOL",1
"062901040002","WESTFIELD HIGH SCHOOL",2
"062901040004","WESTFIELD MIDDLE SCHOOL",1
"070600010006","DIVEN SCHOOL",1
"070600010007","FASSETT ELEMENTARY SCHOOL",4
"070600010010","HENDY AVENUE SCHOOL",12
"070600010013","PARLEY COBURN SCHOOL",12
"070600010014","PINE CITY SCHOOL",0
"070600010015","RIVERSIDE SCHOOL",1
"070600010016","THOMAS K BEECHER SCHOOL",12
"070600010019","BROADWAY ACADEMY",13
"070600010020","ELMIRA HIGH SCHOOL",12
"070600010021","ERNIE DAVIS ACADEMY",19
"070600010022","BROADWAY ELEMENTARY SCHOOL",9
"070600861078","FINN ACADEMY-AN ELMIRA CHARTER SCHOO",3
"070901060003","CENTER STREET SCHOOL",2
"070901060004","RIDGE ROAD SCHOOL",1
"070901060005","BIG FLATS SCHOOL",1
"070901060007","HORSEHEADS SENIOR HIGH SCHOOL",7
"070901060009","GARDNER ROAD ELEMENTARY SCHOOL",1
"070901060010","HORSEHEADS MIDDLE SCHOOL",3
"070901060011","HORSEHEADS INTERMEDIATE SCHOOL",3
"070902060002","THOMAS A EDISON HIGH SCHOOL",8
"070902060004","COHEN MIDDLE SCHOOL",1
"070902060006","COHEN ELEMENTARY SCHOOL",0
"080101040002","AFTON ELEMENTARY SCHOOL",7
"080101040003","AFTON JUNIOR/SENIOR HIGH SCHOOL",13
"080201040001","BAINBRIDGE-GUILFORD HIGH SCHOOL",6
"080201040002","GREENLAWN ELEMENTARY SCHOOL",5
"080201040003","GUILFORD ELEMENTARY SCHOOL",1
"080601040001","GREENE PRIMARY SCHOOL",1
"080601040002","GREENE INTERMEDIATE SCHOOL",1
"080601040003","GREENE HIGH SCHOOL",5
"080601040004","GREENE MIDDLE SCHOOL",3
"081003040003","UNADILLA VALLEY SECONDARY SCHOOL",9
"081003040006","UNADILLA VALLEY ELEMENTARY SCHOOL",0
"081200050001","PERRY BROWNE INTERMEDIATE SCHOOL",4
"081200050002","STANFORD J GIBSON PRIMARY SCHOOL",1
"081200050003","NORWICH MIDDLE SCHOOL",10
"081200050004","NORWICH HIGH SCHOOL",4
"081401040001","OTSELIC VALLEY CENTRAL SCHOOL",2
